Decimal ;Binário ;Hex ;Referência 
32;100000;20;Space – SPC 
33;100001;21;! 
34;100010;22;""" "
35;100011;23;# 
36;100100;24;$ 
37;100101;25;% 
38;100110;26;& 
39;100111;27;' 
40;101000;28;( 
41;101001;29;) 
42;101010;2A ;* 
43;101011;2B ;+ 
44;101100;2C ;0
45;101101;2D ;– 
46;101110;2E ;. 
47;101111;2F ;/ 
48;110000;30;0
49;110001;31;1
50;110010;32;2
51;110011;33;3
52;110100;34;4
53;110101;35;5
54;110110;36;6
55;110111;37;7
56;111000;38;8
57;111001;39;9
58;111010;3A ;: 
59;111011;3B ;"; "
60;111100;3C ;< 
61;111101;3D ;Erro:520
62;111110;3E ;> 
63;111111;3F ;? 
64;1000000;40;@ 
65;1000001;41;A 
66;1000010;42;B 
67;1000011;43;C 
68;1000100;44;D 
69;1000101;45;E 
70;1000110;46;F 
71;1000111;47;G 
72;1001000;48;H 
73;1001001;49;I 
74;1001010;4A ;J 
75;1001011;4B ;K 
76;1001100;4C ;L 
77;1001101;4D ;M 
78;1001110;4E ;N 
79;1001111;4F ;O 
80;1010000;50;P 
81;1010001;51;Q 
82;1010010;52;R 
83;1010011;53;S 
84;1010100;54;T 
85;1010101;55;U 
86;1010110;56;V 
87;1010111;57;W 
88;1011000;58;X 
89;1011001;59;Y 
90;1011010;5A ;Z 
91;1011011;5B ;[ 
92;1011100;5C ;\ 
93;1011101;5D ;] 
94;1011110;5E ;^ 
95;1011111;5F ;_ 
96;1100000;60;` 
97;1100001;61;a 
98;1100010;62;b 
99;1100011;63;c 
100;1100100;64;d 
101;1100101;65;e 
102;1100110;66;f 
103;1100111;67;g 
104;1101000;68;h 
105;1101001;69;i 
106;1101010;6A ;j 
107;1101011;6B ;k 
108;1101100;6C ;l 
109;1101101;6D ;m 
110;1101110;6E ;n 
111;1101111;6F ;o 
112;1110000;70;p 
113;1110001;71;q 
114;1110010;72;r 
115;1110011;73;s 
116;1110100;74;t 
117;1110101;75;u 
118;1110110;76;v 
119;1110111;77;w 
120;1111000;78;x 
121;1111001;79;y 
122;1111010;7A ;z 
123;1111011;7B ;{ 
124;1111100;7C ;| 
125;1111101;7D ;} 
126;1111110;7E ;~ 
127;1111111;7F ;Delete 
128;10000000;80;Ç 
129;10000001;81;ü 
130;10000010;82;é 
131;10000011;83;â 
132;10000100;84;ä 
133;10000101;85;à 
134;10000110;86;å 
135;10000111;87;ç 
136;10001000;88;ê 
137;10001001;89;ë 
138;10001010;8A ;è 
139;10001011;8B ;ï 
140;10001100;8C ;î 
141;10001101;8D ;ì 
